id	gold
s_360	4
s_361	3
s_362	4
s_363	5
s_364	3
s_365	2
s_366	3
s_367	3
s_368	2
s_369	3
s_370	3
s_371	4
s_372	5
s_373	4
s_374	5
s_375	2
s_376	4
s_377	3
s_378	3
s_379	4
s_380	4
s_381	2
s_382	4
s_383	3
s_384	1
s_385	4
s_386	3
s_387	2
s_388	3
s_389	5
s_390	2
s_391	3
s_392	5
s_393	1
s_394	3
s_395	4
s_396	4
s_397	3
s_398	2
s_399	3
s_400	4
s_401	3
s_402	1
s_403	2
s_404	4
s_405	3
s_406	4
s_407	2
s_408	2
s_409	4
s_410	3
s_411	3
s_412	4
s_413	4
s_414	3
s_415	4
s_416	3
s_417	5
s_418	5
s_419	4
s_420	3
s_421	5
s_422	1
s_423	4
s_424	2
s_425	5
s_426	4
s_427	4
s_428	3
s_429	3
s_430	3
s_431	3
s_432	4
s_433	3
s_434	4
s_435	4
s_436	5
s_437	3
s_438	3
s_439	3
s_440	4
s_441	4
s_442	3
s_443	4
s_444	2
s_445	2
s_446	2
s_447	5
s_448	1
s_449	3
s_450	5
s_451	5
s_452	4
s_453	4
s_454	5
s_455	4
s_456	3
s_457	4
s_458	3
s_459	2
s_460	5
s_461	4
s_462	4
s_463	4
s_464	5
s_465	4
s_466	5
s_467	2
s_468	3
s_469	2
s_470	4
s_471	4
s_472	2
s_473	1
s_474	4
s_475	3
s_476	1
s_477	3
s_478	3
s_479	4
s_480	4
s_481	3
s_482	1
s_483	3
s_484	2
s_485	3
s_486	3
s_487	4
s_488	3
s_489	3
s_490	5
s_491	4
s_492	3
s_493	2
s_494	3
s_495	3
s_496	4
s_497	4
s_498	4
s_499	4
s_500	4
s_501	4
s_502	4
s_503	4
s_504	4
s_505	4
s_506	5
s_507	2
s_508	4
s_509	4
s_510	3
s_511	4
s_512	4
s_513	2
s_514	4
s_515	2
s_516	4
s_517	2
s_518	3
s_519	4
s_520	3
s_521	3
s_522	2
s_523	4
s_524	2
s_525	3
s_526	2
s_527	3
s_528	2
s_529	4
s_530	2
s_531	1
s_532	4
s_533	4
s_534	5
s_535	4
s_536	4
s_537	4
s_538	5
s_539	4
s_540	3
s_541	1
s_542	3
s_543	4
s_544	3
s_545	2
s_546	3
s_547	3
s_548	3
s_549	3
s_550	4
s_551	3
s_552	5
s_553	4
s_554	3
s_555	4
s_556	3
s_557	4
s_558	4
s_559	4
s_560	4
s_561	4
s_562	4
s_563	4
s_564	4
s_565	4
s_566	4
s_567	4
s_568	5
s_569	3
s_570	3
s_571	3
s_572	4
s_573	3
s_574	4
s_575	4
s_576	3
s_577	3
s_578	3
s_579	3
s_580	4
s_581	2
s_582	4
s_583	3
s_584	2
s_585	2
s_586	4
s_587	5
s_588	4
s_589	3
s_590	3
s_591	4
s_592	3
s_593	4
s_594	3
s_595	2
s_596	3
s_597	3
s_598	3
s_599	4
s_600	3
s_601	4
s_602	4
s_603	4
s_604	4
s_605	4
s_606	4
s_607	4
s_608	3
s_609	3
s_610	4
s_611	3
s_612	3
s_613	4
s_614	5
s_615	4
s_616	2
s_617	2
s_618	3
s_619	4
s_620	4
s_621	5
s_622	3
s_623	1
s_624	3
s_625	4
s_626	3
s_627	3
s_628	4
s_629	4
s_630	2
s_631	4
s_632	3
s_633	1
s_634	3
s_635	3
s_636	2
s_637	3
s_638	3
s_639	4
s_640	4
s_641	4
s_642	1
s_643	2
s_644	1
s_645	4
s_646	3
s_647	4
s_648	3
s_649	3
s_650	5
s_651	3
s_652	4
s_653	1
s_654	4
s_655	3
s_656	4
s_657	4
s_658	4
s_659	2
s_660	3
s_661	3
s_662	4
s_663	2
s_664	3
s_665	4
s_666	3
s_667	4
s_668	4
s_669	3
s_670	3
s_671	5
s_672	3
s_673	5
s_674	1
s_675	3
s_676	3
s_677	3
s_678	3
s_679	3
s_680	2
s_681	2
s_682	3
s_683	4
s_684	4
s_685	3
s_686	3
s_687	4
s_688	4
s_689	2
s_690	1
s_691	3
s_692	1
s_693	4
s_694	3
s_695	4
s_696	5
s_697	4
s_698	2
s_699	3
s_700	1
s_701	2
s_702	5
s_703	4
s_704	5
s_705	1
s_706	4
s_707	3
s_708	2
s_709	4
s_710	2
s_711	4
s_712	1
s_713	5
s_714	5
s_715	4
s_716	3
s_717	1
s_718	4
s_719	3
s_720	4
s_721	4
s_722	5
s_723	3
s_724	3
s_725	4
s_726	3
s_727	4
s_728	5
s_729	3
s_730	3
s_731	4
s_732	3
s_733	4
s_734	2
s_735	4
s_736	3
s_737	4
s_738	2
s_739	2
s_740	4
s_741	3
s_742	4
s_743	3
s_744	3
s_745	3
s_746	3
s_747	4
s_748	3
s_749	4
s_750	3
s_751	4
s_752	4
s_753	5
s_754	5
s_755	4
s_756	5
s_757	4
s_758	5
s_759	4
s_760	5
s_761	5
s_762	4
s_763	5
s_764	4
s_765	4
s_766	4
s_767	4
s_768	5
s_769	5
s_770	5
s_771	4
s_772	4
s_773	5
s_774	3
s_775	5
s_776	4
s_777	3
s_778	3
s_779	4
s_780	5
s_781	4
s_782	4
s_783	5
s_784	4
s_785	4
s_786	4
s_787	5
s_788	5
s_789	4
s_790	5
s_791	4
s_792	5
s_793	5
s_794	4
s_795	5
s_796	4
s_797	5
s_798	4
s_799	5
s_800	4
s_801	5
s_802	5
s_803	4
s_804	4
s_805	4
s_806	5
s_807	4
s_808	3
s_809	5
s_810	5
s_811	3
s_812	4
s_813	4
s_814	5
s_815	5
s_816	4
s_817	4
s_818	3
s_819	4
s_820	5
s_821	5
s_822	4
s_823	5
s_824	3
s_825	5
s_826	5
s_827	3
s_828	4
s_829	4
s_830	5
s_831	5
s_832	4
s_833	4
s_834	5
s_835	4
s_836	5
s_837	4
s_838	4
s_839	5
s_840	4
s_841	4
s_842	4
s_843	1
s_844	4
s_845	3
s_846	5
s_847	5
s_848	4
s_849	5
s_850	5
s_851	5
s_852	4
s_853	4
s_854	5
s_855	5
s_856	5
s_857	4
s_858	4
s_859	4
s_860	5
s_861	4
s_862	4
s_863	4
s_864	4
s_865	5
s_866	4
s_867	4
s_868	5
s_869	5
s_870	2
s_871	1
s_872	5
s_873	5
s_874	4
s_875	5
s_876	4
s_877	4
s_878	5
s_879	4
s_880	4
s_881	4
s_882	4
s_883	4
s_884	4
s_885	4
s_886	4
s_887	5
s_888	5
s_889	4
s_890	4
s_891	4
s_892	3
s_893	4
s_894	4
s_895	4
s_896	4
s_897	4
s_898	5
s_899	5
s_900	3
s_901	4
s_902	1
s_903	4
s_904	5
s_905	4
s_906	4
s_907	5
s_908	5
s_909	4
s_910	2
s_911	3
s_912	5
s_913	5
s_914	4
s_915	5
s_916	4
s_917	3
s_918	4
s_919	5
s_920	5
s_921	4
s_922	1
s_923	5
s_924	5
s_925	5
s_926	5
s_927	4
s_928	4
s_929	4
s_930	5
s_931	4
s_932	5
s_933	4
s_934	5
s_935	5
s_936	4
s_937	5
s_938	5
s_939	4
s_940	4
s_941	4
s_942	5
s_943	5
s_944	5
s_945	5
s_946	5
s_947	5
s_948	5
s_949	5
s_950	5
s_951	3
s_952	4
s_953	5
s_954	4
s_955	5
s_956	4
s_957	5
s_958	5
s_959	4
s_960	4
s_961	4
s_962	5
s_963	5
s_964	4
s_965	4
s_966	5
s_967	5
s_968	4
s_969	5
s_970	4
s_971	4
s_972	4
s_973	5
s_974	5
s_975	5
s_976	5
s_977	5
s_978	5
s_979	5
s_980	5
s_981	4
s_982	5
s_983	4
s_984	4
s_985	5
s_986	5
s_987	1
s_988	4
s_989	5
s_990	5
s_991	5
s_992	4
s_993	5
s_994	4
s_995	4
s_996	5
s_997	5
s_998	5
s_999	5
s_1000	5
s_1001	5
s_1002	5
s_1003	5
s_1004	5
s_1005	4
s_1006	5
s_1007	4
s_1008	5
s_1009	5
s_1010	5
s_1011	5
s_1012	4
s_1013	5
s_1014	3
s_1015	4
s_1016	4
s_1017	4
s_1018	5
s_1019	5
s_1020	3
s_1021	5
s_1022	4
s_1023	4
s_1024	5
s_1025	4
s_1026	5
s_1027	4
s_1028	4
s_1029	5
s_1030	5
s_1031	4
s_1032	4
s_1033	4
s_1034	5
s_1035	5
s_1036	5
s_1037	4
s_1038	4
s_1039	5
s_1040	5
s_1041	5
s_1042	3
s_1043	3
s_1044	4
s_1045	4
s_1046	1
s_1047	5
s_1048	4
s_1049	4
s_1050	5
s_1051	4
s_1052	3
s_1053	2
s_1054	4
s_1055	4
s_1056	5
s_1057	4
s_1058	4
s_1059	4
s_1060	5
s_1061	4
s_1062	4
s_1063	5
s_1064	4
s_1065	5
s_1066	5
s_1067	5
s_1068	5
s_1069	4
s_1070	3
s_1071	5
s_1072	3
s_1073	3
s_1074	3
s_1075	4
s_1076	5
s_1077	4
s_1078	4
s_1079	3
s_1080	4
s_1081	5
s_1082	4
s_1083	4
s_1084	4
s_1085	1
s_1086	3
s_1087	4
s_1088	4
s_1089	5
s_1090	4
s_1091	4
s_1092	3
s_1093	4
s_1094	5
s_1095	3
s_1096	5
s_1097	5
s_1098	4
s_1099	4
s_1100	5
s_1101	4
s_1102	5
s_1103	4
s_1104	5
s_1105	4
s_1106	5
s_1107	5
s_1108	5
s_1109	5
s_1110	5
s_1111	5
s_1112	5
s_1113	5
s_1114	5
s_1115	5
s_1116	5
s_1117	4
s_1118	5
s_1119	4
s_1120	5
s_1121	5
s_1122	5
s_1123	5
s_1124	5
s_1125	4
s_1126	5
s_1127	4
s_1128	4
s_1129	4
s_1130	5
s_1131	4
s_1132	5
s_1133	4
s_1134	5
s_1135	4
s_1136	5
s_1137	5
s_1138	5
s_1139	4
s_1140	5
s_1141	4
s_1142	4
s_1143	4
s_1144	5
s_1145	5
s_1146	4
s_1147	4
s_1148	5
s_1149	3
s_1150	4
s_1151	4
s_1152	4
s_1153	5
s_1154	5
s_1155	4
s_1156	5
s_1157	5
s_1158	5
s_1159	5
s_1160	5
s_1161	4
s_1162	5
s_1163	5
s_1164	4
s_1165	4
s_1166	5
s_1167	5
s_1168	5
s_1169	5
s_1170	4
s_1171	4
s_1172	3
s_1173	5
s_1174	5
s_1175	4
s_1176	5
s_1177	5
s_1178	5
s_1179	5
s_1180	3
s_1181	4
s_1182	5
s_1183	4
s_1184	4
s_1185	4
s_1186	4
s_1187	5
s_1188	4
s_1189	5
s_1190	4
s_1191	4
s_1192	3
s_1193	4
s_1194	4
s_1195	4
s_1196	4
s_1197	5
s_1198	3
s_1199	5
s_1200	5
s_1201	5
s_1202	4
s_1203	5
s_1204	5
s_1205	4
s_1206	4
s_1207	4
s_1208	5
s_1209	4
s_1210	4
s_1211	4
s_1212	4
s_1213	5
s_1214	5
s_1215	5
s_1216	4
s_1217	5
s_1218	5
s_1219	5
s_1220	4
s_1221	4
s_1222	5
s_1223	4
s_1224	5
s_1225	4
s_1226	5
s_1227	5
s_1228	4
s_1229	4
s_1230	5
s_1231	5
s_1232	5
s_1233	4
s_1234	5
s_1235	4
s_1236	4
s_1237	4
s_1238	5
s_1239	5
s_1240	5
s_1241	5
s_1242	4
s_1243	5
s_1244	4
s_1245	4
s_1246	5
s_1247	4
s_1248	4
s_1249	4
s_1250	2
s_1251	4
s_1252	5
s_1253	5
s_1254	4
s_1255	4
s_1256	4
s_1257	4
s_1258	4
s_1259	4
s_1260	4
s_1261	4
s_1262	5
s_1263	5
s_1264	4
s_1265	4
s_1266	3
s_1267	4
s_1268	5
s_1269	5
s_1270	4
s_1271	5
s_1272	4
s_1273	4
s_1274	4
s_1275	4
s_1276	5
s_1277	4
s_1278	4
s_1279	5
s_1280	3
s_1281	5
s_1282	5
s_1283	4
s_1284	5
s_1285	4
s_1286	5
s_1287	4
s_1288	4
s_1289	4
s_1290	5
s_1291	1
s_1292	2
s_1293	4
s_1294	4
s_1295	3
s_1296	5
s_1297	5
s_1298	3
s_1299	5
s_1300	4
s_1301	4
s_1302	4
s_1303	5
s_1304	4
s_1305	3
s_1306	4
s_1307	5
s_1308	4
s_1309	4
s_1310	4
s_1311	4
s_1312	4
s_1313	4
s_1314	5
s_1315	3
s_1316	4
s_1317	5
s_1318	5
s_1319	4
s_1320	5
s_1321	5
s_1322	5
s_1323	4
s_1324	4
s_1325	5
s_1326	5
s_1327	3
s_1328	5
s_1329	4
s_1330	5
s_1331	4
s_1332	4
s_1333	4
s_1334	4
s_1335	3
s_1336	5
s_1337	4
s_1338	5
s_1339	5
s_1340	5
s_1341	5
s_1342	4
s_1343	4
s_1344	4
s_1345	5
s_1346	5
s_1347	5
s_1348	5
s_1349	5
s_1350	4
s_1351	5
s_1352	5
s_1353	4
s_1354	5
s_1355	4
s_1356	5
s_1357	4
s_1358	4
s_1359	5
s_1360	4
s_1361	4
s_1362	4
s_1363	5
s_1364	4
s_1365	5
s_1366	5
s_1367	5
s_1368	5
s_1369	5
s_1370	4
s_1371	5
s_1372	5
s_1373	5
s_1374	4
s_1375	4
s_1376	5
s_1377	4
s_1378	4
s_1379	4
s_1380	5
s_1381	5
s_1382	3
s_1383	5
s_1384	3
s_1385	5
s_1386	5
s_1387	5
s_1388	4
s_1389	4
s_1390	5
s_1391	3
s_1392	3
s_1393	4
s_1394	5
s_1395	4
s_1396	4
s_1397	4
s_1398	5
s_1399	4
s_1400	5
s_1401	4
s_1402	5
s_1403	5
s_1404	4
s_1405	4
s_1406	4
s_1407	3
s_1408	5
s_1409	4
s_1410	4
s_1411	4
s_1412	5
s_1413	5
s_1414	4
s_1415	5
s_1416	4
s_1417	5
s_1418	5
s_1419	5
s_1420	4
s_1421	4
s_1422	4
s_1423	4
s_1424	5
s_1425	5
s_1426	5
s_1427	4
s_1428	5
s_1429	4
s_1430	5
s_1431	4
s_1432	5
s_1433	5
s_1434	5
s_1435	5
s_1436	5
s_1437	5
s_1438	5
s_1439	4
s_1440	4
s_1441	4
s_1442	5
s_1443	4
s_1444	4
s_1445	5
s_1446	4
s_1447	5
s_1448	3
s_1449	4
s_1450	1
s_1451	5
s_1452	5
s_1453	4
s_1454	5
s_1455	5
s_1456	5
s_1457	5
s_1458	4
s_1459	5
s_1460	5
s_1461	4
s_1462	5
s_1463	5
s_1464	5
s_1465	4
s_1466	5
s_1467	4
s_1468	4
s_1469	4
s_1470	5
s_1471	5
s_1472	4
s_1473	4
s_1474	5
s_1475	5
s_1476	4
s_1477	5
s_1478	5
s_1479	5
s_1480	5
s_1481	5
s_1482	5
s_1483	5
s_1484	1
